"App name","App ID","App category","App source","First message sent on","Last message sent on","First used on","Last used on","First automation on","Last automation on"
ChatGPT,A097V82EGG2,"Communication,Featured,Productivity,AI Apps & Assistants","Slack Marketplace",,,,,,
Claude,A08SF47R6P4,"Communication,Featured,Productivity,AI Apps & Assistants","Slack Marketplace","Jul 4, 2026","Jul 11, 2026",,,,
"Confluence Cloud",AC23SDS77,"Productivity,Project Management","Slack Marketplace","Jul 4, 2026","Jul 12, 2026",,,,
"Demo App",A0BG2NWUCCW,,Internal,,,,,,
Figma,A01N2QYSA81,"New & Noteworthy,Featured,Design,Productivity,Project Management,MCP registry","Slack Marketplace","Jul 4, 2026","Jul 10, 2026",,,,
Giphy,A0F827J2C,"Social & Fun,Essential Apps","Slack Marketplace",,,,,,
GitHub,A01BP7R4KNY,"Developer Tools,Communication,Featured,Productivity,AI Apps & Assistants","Slack Marketplace","Jul 4, 2026","Jul 11, 2026",,,,
"Google Calendar",ADZ494LHY,"Featured,Office Management,Productivity,Essential Apps,Daily Tools,Working from home,Enterprise-ready apps","Slack Marketplace",,"Jul 12, 2026",,,,
"Google Drive",A6NL8MJ6Q,"File Management,Featured,Productivity,Essential Apps,Daily Tools,Working from home","Slack Marketplace","Jul 7, 2026","Jul 7, 2026",,,,
"Jira Cloud",A2RPP3NFR,"Developer Tools,Brilliant Bots,Featured,Project Management,Working from home","Slack Marketplace","Jul 4, 2026","Jul 12, 2026",,,,
KimbalUrja,A0BG6M5J1DX,,Internal,,,,,,
"L2C Bot",A0BGF3ZQE12,,Internal,,,"Jul 9, 2026","Jul 10, 2026",,
"MES - Issue Thread Bot",A0BG9GQSL5S,,Internal,"Jul 9, 2026","Jul 9, 2026","Jul 9, 2026","Jul 10, 2026",,
"Microsoft Teams Calls",ARRK29W8N,"Communication,Featured,Productivity,Essential Apps,Voice & Video,Daily Tools,Enterprise-ready apps","Slack Marketplace",,"Jul 8, 2026",,,,
"OneDrive and SharePoint",AJBCW09GU,"File Management,Featured,Productivity,Essential Apps,Daily Tools,Working from home,Enterprise-ready apps","Slack Marketplace",,,"Jul 4, 2026","Jul 12, 2026",,
"Outlook Calendar",AFV5ECLBZ,"Communication,Featured,Office Management,Productivity,Essential Apps,Daily Tools,Working from home,Enterprise-ready apps","Slack Marketplace","Jul 4, 2026","Jul 12, 2026",,,,
"P2P Bot",A0BH3G0DNQ0,,Internal,,,"Jul 9, 2026","Jul 9, 2026",,
Polly,A04E6JX41,"Brilliant Bots,HR & Team Culture,Featured,Social & Fun,Productivity,Essential Apps,Working from home,Enterprise-ready apps","Slack Marketplace","Jul 6, 2026","Jul 12, 2026",,,,
"Samy Media Bulk Channel Upload",A0BF3SKF1A9,,Internal,,,,,,
"Simple Poll",A0HFW7MR6,"Brilliant Bots,HR & Team Culture,Featured,Social & Fun,Productivity,Essential Apps,Enterprise-ready apps","Slack Marketplace","Jul 7, 2026","Jul 8, 2026",,,,
"Standup, Polls & Surveys by Geekbot",A0H67RAG0,"HR & Team Culture,Featured,Productivity,Project Management,Essential Apps,Enterprise-ready apps","Slack Marketplace","Jul 7, 2026","Jul 7, 2026",,,,
Todoist,A0NSTB8R3,"Productivity,Project Management","Slack Marketplace",,,,,,
Zapier,A024R9PQM,"Communication,Featured,Productivity,Sales,Essential Apps,MCP registry","Slack Marketplace","Jul 7, 2026","Jul 11, 2026",,,,
